Reader,EPC,FirstTime,LastTime,BestTime,PeakRSSI (-DB*10),RFPhaseAngle,DopplerFreq (Hz),TagSeenCount,Det,Alg,Err
21,B6AE2AA5E6A534A7E7E9D594,201156.60400,201156.85922,201156.85922,670,0,0.00,22,0,,
11,A47F5CD16A9A5604EE6FEA39,201156.29479,201156.82610,201156.82610,610,0,0.00,21,0,,
11,A47F5CD16A9A5604EE6FEA39,201156.29479,201156.82842,201156.82842,600,0,0.00,22,0,,
11,A47F5CD16A9A5604EE6FEA39,201156.29479,201156.83565,201156.83565,600,0,0.00,23,0,,
21,B6AE2AA5E6A534A7E7E9D594,201156.60400,201156.86318,201156.86318,680,0,0.00,23,0,,
11,B6AE2AA5E6A534A7E7E9D594,201156.60400,201156.91005,201156.91005,650,0,0.00,1,0,,
11,A47F5CD16A9A5604EE6FEA39,201156.29479,201156.91373,201156.91373,640,0,0.00,24,0,,
21,3F9FFD259FC9D6AC733B9624,201156.50012,201156.86438,201156.86438,690,0,0.00,44,0,,
21,3F9FFD259FC9D6AC733B9624,201156.50012,201156.88085,201156.88085,710,0,0.00,45,0,,
21,B6AE2AA5E6A534A7E7E9D594,201156.60400,201156.91400,201156.91400,670,0,0.00,24,0,,
21,B6AE2AA5E6A534A7E7E9D594,201156.60400,201156.95776,201156.95776,670,0,0.00,25,0,,
21,A47F5CD16A9A5604EE6FEA39,201156.29479,201156.96151,201156.96151,710,0,0.00,34,0,,
21,B6AE2AA5E6A534A7E7E9D594,201156.60400,201156.96387,201156.96387,670,0,0.00,26,0,,
21,B6AE2AA5E6A534A7E7E9D594,201156.60400,201156.97494,201156.97494,660,0,0.00,27,0,,
21,A47F5CD16A9A5604EE6FEA39,201156.29479,201156.97861,201156.97861,690,0,0.00,35,0,,
21,B6AE2AA5E6A534A7E7E9D594,201156.60400,201156.97985,201156.97985,660,0,0.00,28,0,,
21,A47F5CD16A9A5604EE6FEA39,201156.29479,201156.98866,201156.98866,690,0,0.00,36,0,,
21,A47F5CD16A9A5604EE6FEA39,201156.29479,201156.99659,201156.99659,700,0,0.00,37,0,,
21,A47F5CD16A9A5604EE6FEA39,201156.29479,201157.00573,201157.00573,660,0,0.00,38,0,,
21,A47F5CD16A9A5604EE6FEA39,201156.29479,201157.01126,201157.01126,670,0,0.00,39,0,,
21,A47F5CD16A9A5604EE6FEA39,201156.29479,201157.02151,201157.02151,670,0,0.00,40,0,,
21,A47F5CD16A9A5604EE6FEA39,201156.29479,201157.02496,201157.02496,670,0,0.00,41,0,,
21,B6AE2AA5E6A534A7E7E9D594,201156.60400,201157.03555,201157.03555,680,0,0.00,29,0,,
21,A47F5CD16A9A5604EE6FEA39,201156.29479,201157.03844,201157.03844,670,0,0.00,42,0,,
21,B6AE2AA5E6A534A7E7E9D594,201156.60400,201157.04433,201157.04433,690,0,0.00,30,0,,
21,A47F5CD16A9A5604EE6FEA39,201156.29479,201157.04553,201157.04553,710,0,0.00,43,0,,
21,A47F5CD16A9A5604EE6FEA39,201156.29479,201157.05609,201157.05609,700,0,0.00,44,0,,
