Reader,EPC,FirstTime,LastTime,BestTime,PeakRSSI (-DB*10),RFPhaseAngle,DopplerFreq (Hz),TagSeenCount,Det,Alg,Err
12,6E1652DF8692B036E201234567333333,141545.95393,141547.87748,141547.87748,660,0,0.00,132,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141547.88093,141547.88093,670,0,0.00,133,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141547.88794,141547.88794,660,0,0.00,134,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141547.89060,141547.89060,660,0,0.00,135,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141547.89768,141547.89768,670,0,0.00,136,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141547.90091,141547.90091,660,0,0.00,137,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141547.90795,141547.90795,660,0,0.00,138,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141547.91139,141547.91139,680,0,0.00,139,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141547.91845,141547.91845,680,0,0.00,140,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141547.92161,141547.92161,680,0,0.00,141,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141547.92918,141547.92918,660,0,0.00,142,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141547.93210,141547.93210,660,0,0.00,143,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141547.93923,141547.93923,670,0,0.00,144,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141547.94230,141547.94230,670,0,0.00,145,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141547.94913,141547.94913,670,0,0.00,146,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141547.95261,141547.95261,670,0,0.00,147,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141547.95920,141547.95920,660,0,0.00,148,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141547.96196,141547.96196,660,0,0.00,149,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141547.96918,141547.96918,660,0,0.00,150,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141547.97179,141547.97179,660,0,0.00,151,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141547.97859,141547.97859,670,0,0.00,152,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141547.98120,141547.98120,660,0,0.00,153,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141547.98890,141547.98890,670,0,0.00,154,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141547.99106,141547.99106,660,0,0.00,155,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141547.99756,141547.99756,680,0,0.00,156,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141548.00035,141548.00035,680,0,0.00,157,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141548.00696,141548.00696,680,0,0.00,158,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141548.00985,141548.00985,680,0,0.00,159,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141548.01758,141548.01758,670,0,0.00,160,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141548.02006,141548.02006,680,0,0.00,161,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141548.02490,141548.02490,660,0,0.00,162,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141548.03103,141548.03103,640,0,0.00,163,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141548.03421,141548.03421,640,0,0.00,164,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141548.04132,141548.04132,640,0,0.00,165,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141548.04465,141548.04465,660,0,0.00,166,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141548.05182,141548.05182,640,0,0.00,167,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141548.05470,141548.05470,640,0,0.00,168,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141548.06099,141548.06099,640,0,0.00,169,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141548.06415,141548.06415,660,0,0.00,170,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141548.07064,141548.07064,660,0,0.00,171,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141548.07416,141548.07416,640,0,0.00,172,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141548.08129,141548.08129,660,0,0.00,173,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141548.08378,141548.08378,660,0,0.00,174,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141548.09078,141548.09078,660,0,0.00,175,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141548.09339,141548.09339,640,0,0.00,176,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141548.10073,141548.10073,660,0,0.00,177,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141548.10407,141548.10407,670,0,0.00,178,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141548.11106,141548.11106,660,0,0.00,179,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141548.11430,141548.11430,670,0,0.00,180,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141548.12164,141548.12164,670,0,0.00,181,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141548.12436,141548.12436,670,0,0.00,182,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141548.13187,141548.13187,650,0,0.00,183,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141548.13441,141548.13441,670,0,0.00,184,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141548.14165,141548.14165,650,0,0.00,185,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141548.14471,141548.14471,670,0,0.00,186,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141548.14471,141548.14471,670,0,0.00,186,0,,
12,6E1652DF8692B036E201234567333333,141545.95393,141548.14471,141548.14471,670,0,0.00,186,0,Algorithm.QFit
12,6E1652DF8692B036E201234567333333,141545.95393,141548.14471,141548.14471,670,0,0.00,186,0,Algorithm.QFit,Sel
